Date,Date,Time,Open,High,Low,Close,Volume,Level,Weekday,MA5,MA10,MA20,MA50,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Histogram,Volume_MA,Volume_Ratio,Price_Change,High_Low_Range
2025-01-02,2025-01-02,00:00:00,248.0494437119358,248.21885574509324,240.96460876578237,242.9874267578125,55740700,1d,3,,,,,,,,,0.0,0.0,0.0,,,,0.029854412946811563
2025-01-03,2025-01-03,00:00:00,242.49916076660156,243.31625226562878,241.03435939639962,242.49916076660156,40244100,1d,4,,,,,,,,,-0.010954685700255595,-0.006085936500141997,-0.004868749200113598,,,-0.002009429038061228,0.009409900067346664
2025-01-06,2025-01-06,00:00:00,243.4457849039297,246.45510633108967,242.33971076643533,244.1333465576172,45045600,1d,0,,,,,,,,,0.03671755965194734,0.01145647995563232,0.02526107969631502,,,0.006738933800222391,0.016857162786989743
2025-01-07,2025-01-07,00:00:00,242.12049100282684,244.681407317594,240.496267218822,241.3532257080078,40856000,1d,1,,,,,,,,,-0.04287522716029457,-0.006948569880386272,-0.0359266572799083,,,-0.011387714496238432,0.01734031143149183
2025-01-08,2025-01-08,00:00:00,241.06422159829904,242.84789810210984,239.20084146962273,241.84146118164062,37628900,1d,2,242.56292419433595,,,,,,,,-0.06579411240267063,-0.02445378838415958,-0.04134032401851105,,,0.0020229084247811446,0.015080361384964925
2025-01-10,2025-01-10,00:00:00,239.16098682233465,239.31046533751606,232.1757893628752,236.01217651367188,61710900,1d,4,241.16787414550782,,,,,,,,-0.3275983855782556,-0.10662282873731684,-0.22097555684093878,,,-0.024103743996115368,0.030230118123704325
2025-01-13,2025-01-13,00:00:00,232.7039288898965,233.8398957390806,228.90740850459227,233.5708465576172,49630700,1d,0,239.38221130371093,,,,,,,,-0.6004496092430713,-0.23159721278361367,-0.36885239645945767,,,-0.010344084750700366,0.021117734970710806
2025-01-14,2025-01-14,00:00:00,233.91960476413306,235.28475371553364,231.6476711610837,232.45480346679688,39435300,1d,1,237.04650268554687,,,,,,,,-0.8268290949964126,-0.3746426274173752,-0.45218646757903735,,,-0.00477817804434344,0.015646407388477314
2025-01-15,2025-01-15,00:00:00,233.80997931617492,238.11470496290485,233.60071548412043,237.02854919433594,39832000,1d,2,236.1815673828125,,,,,,,,-0.7440919005302078,-0.4599872423537347,-0.28410465817647307,,,0.01967584949558754,0.019044075045506335
2025-01-16,2025-01-16,00:00:00,236.51041752509497,237.1680713225123,227.22337827123218,227.4525604248047,71759100,1d,3,233.3037872314453,237.93335571289063,,,,,,,-1.1678275621281102,-0.6185845640573671,-0.5492429980707432,,,-0.040400149273495556,0.04372205365684516
2025-01-17,2025-01-17,00:00:00,231.2989028272768,231.4682996512766,227.67177943063626,229.16647338867188,68488300,1d,4,231.9346466064453,236.55126037597657,,,,,,,-1.3663381604313258,-0.7821887783277393,-0.5841493821035866,,,0.007535254651194867,0.016566647662292825
2025-01-21,2025-01-21,00:00:00,223.20762199269615,223.62613445935494,218.6039696546368,221.85243225097656,98070400,1d,1,229.5909637451172,234.48658752441406,,,,,,,-1.8950547303911378,-1.0211857130350106,-0.8738690173561272,,,-0.03191584279123816,0.02263741151612289
2025-01-22,2025-01-22,00:00:00,219.0125058897086,223.32719072748344,219.0125058897086,223.03822326660156,64126500,1d,2,227.70764770507813,232.3770751953125,,,,,,,-2.1950434161911687,-1.2696147864088498,-0.9254286297823189,,,0.005344953866827762,0.019345046667706946
2025-01-23,2025-01-23,00:00:00,223.94503224654224,226.2269251350915,221.51366083038826,222.8688507080078,60234800,1d,3,224.8757080078125,230.5286376953125,,,,,,24.410565626430127,-2.40089609671017,-1.506279680590686,-0.8946164161194841,,,-0.0007593880372303019,0.021148151882733668
2025-01-24,2025-01-24,00:00:00,223.9848686181573,224.831867935065,220.6267944226493,221.991943359375,54697900,1d,4,223.78358459472656,228.54368591308594,,,,,,23.877913665513674,-2.5775438793539536,-1.728345776489767,-0.8491981028641866,,,-0.0039346339600490055,0.01894246002256142
2025-01-27,2025-01-27,00:00:00,223.22755241503756,231.32878288695173,223.18768539696657,229.04689025878906,94863400,1d,0,223.75966796875,227.84715728759767,,,,,,35.613746971342636,-2.2513060046953512,-1.8359670928834317,-0.4153389118119195,,,0.031780193427979775,0.03554336616745559
